Country,Count
Afghanistan," 1,618 "
Armenia, 200 
Bhutan, 14 
Burma," 2,156 "
Burundi, 185 
Cambodia, 32 
Central African Republic, 181 
Colombia, 261 
"Congo, Democratic Republic"," 7,810 "
El Salvador, 519 
Eritrea, 325 
Ethiopia, 252 
Guatemala," 1,085 "
Honduras, 450 
Iran, 255 
Iraq, 498 
Moldova, 507 
Pakistan, 36 
Russia, 19 
Rwanda, 88 
Somalia, 456 
South Sudan, 293 
Sri Lanka, 19 
Sudan," 1,669 "
Syria," 4,556 "
Uganda, 63 
Ukraine," 1,610 "
Venezuela, 163 
Yemen, 15 
