,Year,Social Security,Income Securityb,Memorandum: Major Health Care Programs (Net)c
0,1962,2.398,1.042,0.018
1,1963,2.5,0.968,0.025
2,1964,2.455,0.9,0.032
3,1965,2.408,0.765,0.038
4,1966,2.595,0.652,0.099
5,1967,2.545,0.613,0.442
6,1968,2.595,0.661,0.694
7,1969,2.724,0.663,0.784
8,1970,2.832,0.781,0.819
9,1971,3.146,1.201,0.859
10,1972,3.237,1.35,0.956
11,1973,3.561,1.068,0.903
12,1974,3.708,1.173,0.997
13,1975,3.955,1.798,1.186
14,1976,4.07,2.105,1.319
15,1977,4.134,1.709,1.406
16,1978,4.066,1.413,1.43
17,1979,3.999,1.255,1.478
18,1980,4.193,1.587,1.611
19,1981,4.401,1.593,1.748
20,1982,4.645,1.605,1.892
21,1983,4.766,1.809,1.986
22,1984,4.458,1.309,1.926
23,1985,4.371,1.225,2.034
24,1986,4.342,1.197,2.064
25,1987,4.301,1.154,2.115
26,1988,4.219,1.115,2.089
27,1989,4.148,1.135,2.112
28,1990,4.179,1.165,2.321
29,1991,4.378,1.427,2.537
30,1992,4.444,1.726,2.868
31,1993,4.457,1.728,3.006
32,1994,4.416,1.618,3.119
33,1995,4.408,1.543,3.253
34,1996,4.365,1.529,3.311
35,1997,4.287,1.449,3.349
36,1998,4.211,1.368,3.264
37,1999,4.082,1.361,3.126
38,2000,4.013,1.324,3.096
39,2001,4.079,1.36,3.298
40,2002,4.175,1.665,3.499
41,2003,4.171,1.739,3.642
42,2004,4.086,1.585,3.706
43,2005,4.04,1.533,3.748
44,2006,3.989,1.467,3.747
45,2007,4.065,1.42,3.966
46,2008,4.137,1.658,4.015
47,2009,4.685,2.407,4.725
48,2010,4.708,2.937,4.885
49,2011,4.687,2.614,4.937
50,2012,4.766,2.195,4.505
51,2013,4.848,2.037,4.606
52,2014,4.864,1.79,4.784
53,2015,4.876,1.664,5.178
54,2016,4.911,1.639,5.463
55,2017,4.88,1.527,5.354
56,2018,4.837,1.405,5.111
57,2019,4.908,1.43,5.324
58,2020,5.175,4.99,6.18
59,2021,4.983,6.076,5.726
60,2022,4.847,2.322,5.765
