,Year,Revenues,Outlays
0,1962,99.676,106.821
1,1963,106.56,111.316
2,1964,112.613,118.528
3,1965,116.817,118.228
4,1966,130.835,134.532
5,1967,148.822,157.464
6,1968,152.973,178.134
7,1969,186.882,183.64
8,1970,192.807,195.649
9,1971,187.139,210.172
10,1972,207.309,230.681
11,1973,230.799,245.707
12,1974,263.224,269.359
13,1975,279.09,332.332
14,1976,298.06,371.792
15,1977,355.559,409.218
16,1978,399.561,458.746
17,1979,463.302,504.028
18,1980,517.112,590.941
19,1981,599.272,678.241
20,1982,617.766,745.743
21,1983,600.562,808.364
22,1984,666.438,851.805
23,1985,734.037,946.344
24,1986,769.155,990.382
25,1987,854.287,1004.017
26,1988,909.238,1064.416
27,1989,991.104,1143.743
28,1990,1031.958,1252.993
29,1991,1054.988,1324.226
30,1992,1091.208,1381.529
31,1993,1154.334,1409.386
32,1994,1258.566,1461.752
33,1995,1351.79,1515.742
34,1996,1453.053,1560.484
35,1997,1579.232,1601.116
36,1998,1721.728,1652.458
37,1999,1827.452,1701.842
38,2000,2025.191,1788.95
39,2001,1991.082,1862.846
40,2002,1853.136,2010.894
41,2003,1782.314,2159.899
42,2004,1880.114,2292.841
43,2005,2153.611,2471.957
44,2006,2406.869,2655.05
45,2007,2567.985,2728.686
46,2008,2523.991,2982.544
47,2009,2104.989,3517.677
48,2010,2162.706,3457.079
49,2011,2303.466,3603.065
50,2012,2449.99,3526.563
51,2013,2775.106,3454.881
52,2014,3021.491,3506.284
53,2015,3249.89,3691.85
54,2016,3267.965,3852.615
55,2017,3316.184,3981.63
56,2018,3329.907,4109.045
57,2019,3463.364,4446.956
58,2020,3421.164,6553.603
59,2021,4047.112,6822.449
60,2022,4896.119,6271.508
