,DATE,Unemployment
0,1990-01-01,8.3
1,1990-02-01,8.1
2,1990-03-01,8.0
3,1990-04-01,7.5
4,1990-05-01,7.5
5,1990-06-01,7.6
6,1990-07-01,8.2
7,1990-08-01,8.1
8,1990-09-01,7.8
9,1990-10-01,7.8
10,1990-11-01,8.2
11,1990-12-01,8.2
12,1991-01-01,9.7
13,1991-02-01,10.3
14,1991-03-01,10.6
15,1991-04-01,9.8
16,1991-05-01,9.8
17,1991-06-01,10.0
18,1991-07-01,9.7
19,1991-08-01,9.5
20,1991-09-01,9.5
21,1991-10-01,9.5
22,1991-11-01,9.5
23,1991-12-01,9.5
24,1992-01-01,10.9
25,1992-02-01,10.7
26,1992-03-01,10.4
27,1992-04-01,9.3
28,1992-05-01,9.5
29,1992-06-01,10.2
30,1992-07-01,10.5
31,1992-08-01,9.5
32,1992-09-01,9.1
33,1992-10-01,8.4
34,1992-11-01,7.9
35,1992-12-01,7.6
36,1993-01-01,8.3
37,1993-02-01,7.8
38,1993-03-01,7.5
39,1993-04-01,6.9
40,1993-05-01,7.0
41,1993-06-01,7.7
42,1993-07-01,7.7
43,1993-08-01,7.0
44,1993-09-01,7.0
45,1993-10-01,7.0
46,1993-11-01,6.7
47,1993-12-01,6.6
48,1994-01-01,7.9
49,1994-02-01,7.4
50,1994-03-01,6.9
51,1994-04-01,5.7
52,1994-05-01,5.3
53,1994-06-01,5.6
54,1994-07-01,6.2
55,1994-08-01,5.6
56,1994-09-01,5.0
57,1994-10-01,4.7
58,1994-11-01,4.0
59,1994-12-01,3.7
60,1995-01-01,5.3
61,1995-02-01,5.1
62,1995-03-01,5.4
63,1995-04-01,4.9
64,1995-05-01,4.8
65,1995-06-01,5.5
66,1995-07-01,5.8
67,1995-08-01,5.0
68,1995-09-01,4.8
69,1995-10-01,4.2
70,1995-11-01,4.1
71,1995-12-01,4.1
72,1996-01-01,5.2
73,1996-02-01,4.7
74,1996-03-01,4.9
75,1996-04-01,4.2
76,1996-05-01,4.6
77,1996-06-01,4.9
78,1996-07-01,5.7
79,1996-08-01,4.7
80,1996-09-01,4.7
81,1996-10-01,4.6
82,1996-11-01,4.4
83,1996-12-01,4.4
84,1997-01-01,5.5
85,1997-02-01,4.8
86,1997-03-01,4.8
87,1997-04-01,4.0
88,1997-05-01,3.6
89,1997-06-01,4.2
90,1997-07-01,4.8
91,1997-08-01,4.0
92,1997-09-01,4.1
93,1997-10-01,3.8
94,1997-11-01,3.5
95,1997-12-01,3.4
96,1998-01-01,4.5
97,1998-02-01,4.1
98,1998-03-01,4.2
99,1998-04-01,3.1
100,1998-05-01,3.4
101,1998-06-01,4.0
102,1998-07-01,5.2
103,1998-08-01,4.0
104,1998-09-01,4.2
105,1998-10-01,4.0
106,1998-11-01,3.8
107,1998-12-01,3.9
108,1999-01-01,4.7
109,1999-02-01,4.7
110,1999-03-01,4.4
111,1999-04-01,3.6
112,1999-05-01,3.4
113,1999-06-01,3.9
114,1999-07-01,4.4
115,1999-08-01,3.4
116,1999-09-01,3.6
117,1999-10-01,3.5
118,1999-11-01,3.3
119,1999-12-01,3.0
120,2000-01-01,3.5
121,2000-02-01,3.1
122,2000-03-01,3.5
123,2000-04-01,2.7
124,2000-05-01,3.1
125,2000-06-01,3.6
126,2000-07-01,4.4
127,2000-08-01,3.8
128,2000-09-01,3.5
129,2000-10-01,3.2
130,2000-11-01,3.1
131,2000-12-01,3.1
132,2001-01-01,5.1
133,2001-02-01,4.6
134,2001-03-01,4.9
135,2001-04-01,4.2
