,DATE,Unemployment US,Unemployment Detroit
0,1990-01-01,8.3,5.4
1,1990-02-01,8.1,5.3
2,1990-03-01,8.0,5.2
3,1990-04-01,7.5,5.4
4,1990-05-01,7.5,5.4
5,1990-06-01,7.6,5.2
6,1990-07-01,8.2,5.5
7,1990-08-01,8.1,5.7
8,1990-09-01,7.8,5.9
9,1990-10-01,7.8,5.9
10,1990-11-01,8.2,6.2
11,1990-12-01,8.2,6.3
12,1991-01-01,9.7,6.4
13,1991-02-01,10.3,6.6
14,1991-03-01,10.6,6.8
15,1991-04-01,9.8,6.7
16,1991-05-01,9.8,6.9
17,1991-06-01,10.0,6.9
18,1991-07-01,9.7,6.8
19,1991-08-01,9.5,6.9
20,1991-09-01,9.5,6.9
21,1991-10-01,9.5,7.0
22,1991-11-01,9.5,7.0
23,1991-12-01,9.5,7.3
24,1992-01-01,10.9,7.3
25,1992-02-01,10.7,7.4
26,1992-03-01,10.4,7.4
27,1992-04-01,9.3,7.4
28,1992-05-01,9.5,7.6
29,1992-06-01,10.2,7.8
30,1992-07-01,10.5,7.7
31,1992-08-01,9.5,7.6
32,1992-09-01,9.1,7.6
33,1992-10-01,8.4,7.3
34,1992-11-01,7.9,7.4
35,1992-12-01,7.6,7.4
36,1993-01-01,8.3,7.3
37,1993-02-01,7.8,7.1
38,1993-03-01,7.5,7.0
39,1993-04-01,6.9,7.1
40,1993-05-01,7.0,7.1
41,1993-06-01,7.7,7.0
42,1993-07-01,7.7,6.9
43,1993-08-01,7.0,6.8
44,1993-09-01,7.0,6.7
45,1993-10-01,7.0,6.8
46,1993-11-01,6.7,6.6
47,1993-12-01,6.6,6.5
48,1994-01-01,7.9,6.6
49,1994-02-01,7.4,6.6
50,1994-03-01,6.9,6.5
51,1994-04-01,5.7,6.4
52,1994-05-01,5.3,6.1
53,1994-06-01,5.6,6.1
54,1994-07-01,6.2,6.1
55,1994-08-01,5.6,6.0
56,1994-09-01,5.0,5.9
57,1994-10-01,4.7,5.8
58,1994-11-01,4.0,5.6
59,1994-12-01,3.7,5.5
60,1995-01-01,5.3,5.6
61,1995-02-01,5.1,5.4
62,1995-03-01,5.4,5.4
63,1995-04-01,4.9,5.8
64,1995-05-01,4.8,5.6
65,1995-06-01,5.5,5.6
66,1995-07-01,5.8,5.7
67,1995-08-01,5.0,5.7
68,1995-09-01,4.8,5.6
69,1995-10-01,4.2,5.5
70,1995-11-01,4.1,5.6
71,1995-12-01,4.1,5.6
72,1996-01-01,5.2,5.6
73,1996-02-01,4.7,5.5
74,1996-03-01,4.9,5.5
75,1996-04-01,4.2,5.6
76,1996-05-01,4.6,5.6
77,1996-06-01,4.9,5.3
78,1996-07-01,5.7,5.5
79,1996-08-01,4.7,5.1
80,1996-09-01,4.7,5.2
81,1996-10-01,4.6,5.2
82,1996-11-01,4.4,5.4
83,1996-12-01,4.4,5.4
84,1997-01-01,5.5,5.3
85,1997-02-01,4.8,5.2
86,1997-03-01,4.8,5.2
87,1997-04-01,4.0,5.1
88,1997-05-01,3.6,4.9
89,1997-06-01,4.2,5.0
90,1997-07-01,4.8,4.9
91,1997-08-01,4.0,4.8
92,1997-09-01,4.1,4.9
93,1997-10-01,3.8,4.7
94,1997-11-01,3.5,4.6
95,1997-12-01,3.4,4.7
96,1998-01-01,4.5,4.6
97,1998-02-01,4.1,4.6
98,1998-03-01,4.2,4.7
99,1998-04-01,3.1,4.3
100,1998-05-01,3.4,4.4
101,1998-06-01,4.0,4.5
102,1998-07-01,5.2,4.5
103,1998-08-01,4.0,4.5
104,1998-09-01,4.2,4.6
105,1998-10-01,4.0,4.5
106,1998-11-01,3.8,4.4
107,1998-12-01,3.9,4.4
108,1999-01-01,4.7,4.3
109,1999-02-01,4.7,4.4
110,1999-03-01,4.4,4.2
111,1999-04-01,3.6,4.3
112,1999-05-01,3.4,4.2
113,1999-06-01,3.9,4.3
114,1999-07-01,4.4,4.3
115,1999-08-01,3.4,4.2
116,1999-09-01,3.6,4.2
117,1999-10-01,3.5,4.1
118,1999-11-01,3.3,4.1
119,1999-12-01,3.0,4.0
120,2000-01-01,3.5,4.0
121,2000-02-01,3.1,4.1
122,2000-03-01,3.5,4.0
123,2000-04-01,2.7,3.8
124,2000-05-01,3.1,4.0
125,2000-06-01,3.6,4.0
126,2000-07-01,4.4,4.0
127,2000-08-01,3.8,4.1
128,2000-09-01,3.5,3.9
129,2000-10-01,3.2,3.9
130,2000-11-01,3.1,3.9
131,2000-12-01,3.1,3.9
132,2001-01-01,5.1,4.2
133,2001-02-01,4.6,4.2
134,2001-03-01,4.9,4.3
135,2001-04-01,4.2,4.4
136,2001-05-01,4.5,4.3
137,2001-06-01,4.9,4.5
138,2001-07-01,5.2,4.6
139,2001-08-01,5.4,4.9
140,2001-09-01,5.2,5.0
141,2001-10-01,5.4,5.3
142,2001-11-01,5.7,5.5
143,2001-12-01,5.7,5.7
144,2002-01-01,6.9,5.7
145,2002-02-01,6.2,5.7
146,2002-03-01,6.7,5.7
147,2002-04-01,5.9,5.9
148,2002-05-01,6.1,5.8
149,2002-06-01,6.7,5.8
150,2002-07-01,7.0,5.8
151,2002-08-01,6.1,5.7
152,2002-09-01,5.6,5.7
153,2002-10-01,5.6,5.7
154,2002-11-01,5.8,5.9
155,2002-12-01,6.0,6.0
156,2003-01-01,7.3,5.8
157,2003-02-01,7.3,5.9
158,2003-03-01,7.5,5.9
159,2003-04-01,6.8,6.0
160,2003-05-01,7.2,6.1
161,2003-06-01,8.2,6.3
162,2003-07-01,8.3,6.2
163,2003-08-01,7.5,6.1
164,2003-09-01,7.3,6.1
165,2003-10-01,6.9,6.0
166,2003-11-01,6.3,5.8
167,2003-12-01,6.1,5.7
168,2004-01-01,7.1,5.7
169,2004-02-01,6.8,5.6
170,2004-03-01,7.4,5.8
171,2004-04-01,6.0,5.6
172,2004-05-01,6.8,5.6
173,2004-06-01,7.6,5.6
174,2004-07-01,8.2,5.5
175,2004-08-01,7.3,5.4
176,2004-09-01,7.3,5.4
177,2004-10-01,7.2,5.5
178,2004-11-01,7.3,5.4
179,2004-12-01,7.3,5.4
180,2005-01-01,7.9,5.3
181,2005-02-01,7.9,5.4
182,2005-03-01,7.8,5.2
183,2005-04-01,7.0,5.2
184,2005-05-01,6.9,5.1
185,2005-06-01,7.2,5.0
186,2005-07-01,7.7,5.0
187,2005-08-01,6.8,4.9
188,2005-09-01,6.5,5.0
189,2005-10-01,6.1,5.0
190,2005-11-01,6.5,5.0
191,2005-12-01,6.4,4.9
192,2006-01-01,7.2,4.7
193,2006-02-01,7.3,4.8
194,2006-03-01,7.4,4.7
195,2006-04-01,6.7,4.7
196,2006-05-01,6.5,4.6
197,2006-06-01,7.2,4.6
198,2006-07-01,8.3,4.7
199,2006-08-01,7.5,4.7
200,2006-09-01,7.3,4.5
201,2006-10-01,6.8,4.4
202,2006-11-01,6.8,4.5
203,2006-12-01,6.7,4.4
