,DATE,variable,value
0,1990-01-01,Unemployment US,8.3
1,1990-02-01,Unemployment US,8.1
2,1990-03-01,Unemployment US,8.0
3,1990-04-01,Unemployment US,7.5
4,1990-05-01,Unemployment US,7.5
5,1990-06-01,Unemployment US,7.6
6,1990-07-01,Unemployment US,8.2
7,1990-08-01,Unemployment US,8.1
8,1990-09-01,Unemployment US,7.8
9,1990-10-01,Unemployment US,7.8
10,1990-11-01,Unemployment US,8.2
11,1990-12-01,Unemployment US,8.2
12,1991-01-01,Unemployment US,9.7
13,1991-02-01,Unemployment US,10.3
14,1991-03-01,Unemployment US,10.6
15,1991-04-01,Unemployment US,9.8
16,1991-05-01,Unemployment US,9.8
17,1991-06-01,Unemployment US,10.0
18,1991-07-01,Unemployment US,9.7
19,1991-08-01,Unemployment US,9.5
20,1991-09-01,Unemployment US,9.5
21,1991-10-01,Unemployment US,9.5
22,1991-11-01,Unemployment US,9.5
23,1991-12-01,Unemployment US,9.5
24,1992-01-01,Unemployment US,10.9
25,1992-02-01,Unemployment US,10.7
26,1992-03-01,Unemployment US,10.4
27,1992-04-01,Unemployment US,9.3
28,1992-05-01,Unemployment US,9.5
29,1992-06-01,Unemployment US,10.2
30,1992-07-01,Unemployment US,10.5
31,1992-08-01,Unemployment US,9.5
32,1992-09-01,Unemployment US,9.1
33,1992-10-01,Unemployment US,8.4
34,1992-11-01,Unemployment US,7.9
35,1992-12-01,Unemployment US,7.6
36,1993-01-01,Unemployment US,8.3
37,1993-02-01,Unemployment US,7.8
38,1993-03-01,Unemployment US,7.5
39,1993-04-01,Unemployment US,6.9
40,1993-05-01,Unemployment US,7.0
41,1993-06-01,Unemployment US,7.7
42,1993-07-01,Unemployment US,7.7
43,1993-08-01,Unemployment US,7.0
44,1993-09-01,Unemployment US,7.0
45,1993-10-01,Unemployment US,7.0
46,1993-11-01,Unemployment US,6.7
47,1993-12-01,Unemployment US,6.6
48,1994-01-01,Unemployment US,7.9
49,1994-02-01,Unemployment US,7.4
50,1994-03-01,Unemployment US,6.9
51,1994-04-01,Unemployment US,5.7
