,URATE,DATE,disc_pct,cont
0,10.1,1994-01-01,2.0,UK
1,9.9,1994-02-01,2.0,UK
2,9.8,1994-03-01,1.9,UK
3,9.7,1994-04-01,1.8,UK
4,9.7,1994-05-01,1.7,UK
5,9.6,1994-06-01,1.8,UK
6,9.5,1994-07-01,1.8,UK
7,9.4,1994-08-01,1.8,UK
8,9.3,1994-09-01,1.7,UK
9,9.1,1994-10-01,1.7,UK
10,9.0,1994-11-01,1.7,UK
11,8.9,1994-12-01,1.6,UK
12,8.9,1995-01-01,1.6,UK
13,8.9,1995-02-01,1.5,UK
14,8.8,1995-03-01,1.5,UK
15,8.8,1995-04-01,1.4,UK
16,8.7,1995-05-01,1.5,UK
17,8.7,1995-06-01,1.5,UK
18,8.6,1995-07-01,1.5,UK
19,8.6,1995-08-01,1.5,UK
20,8.6,1995-09-01,1.5,UK
21,8.6,1995-10-01,1.4,UK
22,8.3,1995-11-01,1.3,UK
23,8.4,1995-12-01,1.3,UK
24,8.3,1996-01-01,1.3,UK
25,8.2,1996-02-01,1.4,UK
26,8.3,1996-03-01,1.3,UK
27,8.3,1996-04-01,1.4,UK
28,8.3,1996-05-01,1.4,UK
29,8.2,1996-06-01,1.4,UK
30,8.1,1996-07-01,1.3,UK
31,8.1,1996-08-01,1.2,UK
32,8.1,1996-09-01,1.2,UK
33,8.0,1996-10-01,1.3,UK
34,7.8,1996-11-01,1.3,UK
35,7.7,1996-12-01,1.4,UK
36,7.5,1997-01-01,1.3,UK
37,7.3,1997-02-01,1.2,UK
38,7.2,1997-03-01,1.2,UK
39,7.2,1997-04-01,1.1,UK
40,7.2,1997-05-01,1.2,UK
41,7.3,1997-06-01,1.1,UK
42,7.1,1997-07-01,1.0,UK
43,6.8,1997-08-01,0.9,UK
44,6.7,1997-09-01,0.9,UK
45,6.6,1997-10-01,1.0,UK
46,6.5,1997-11-01,1.0,UK
47,6.4,1997-12-01,1.0,UK
48,6.4,1998-01-01,1.1,UK
49,6.4,1998-02-01,1.1,UK
50,6.3,1998-03-01,1.0,UK
51,6.3,1998-04-01,1.0,UK
52,6.3,1998-05-01,1.0,UK
53,6.3,1998-06-01,1.0,UK
54,6.3,1998-07-01,0.9,UK
55,6.2,1998-08-01,0.9,UK
56,6.2,1998-09-01,0.9,UK
57,6.2,1998-10-01,0.9,UK
58,6.1,1998-11-01,0.9,UK
59,6.2,1998-12-01,0.9,UK
60,6.2,1999-01-01,1.0,UK
61,6.2,1999-02-01,1.0,UK
62,6.2,1999-03-01,1.0,UK
63,6.1,1999-04-01,0.9,UK
64,6.0,1999-05-01,0.9,UK
65,6.0,1999-06-01,0.9,UK
66,5.9,1999-07-01,0.9,UK
67,5.9,1999-08-01,0.9,UK
68,5.8,1999-09-01,0.9,UK
69,5.8,1999-10-01,0.8,UK
70,5.8,1999-11-01,0.9,UK
71,5.9,1999-12-01,0.9,UK
72,5.8,2000-01-01,1.0,UK
73,5.8,2000-02-01,0.9,UK
74,5.7,2000-03-01,1.0,UK
75,5.6,2000-04-01,0.9,UK
76,5.5,2000-05-01,1.0,UK
77,5.3,2000-06-01,0.9,UK
78,5.3,2000-07-01,0.8,UK
79,5.3,2000-08-01,0.7,UK
80,5.4,2000-09-01,0.7,UK
81,5.3,2000-10-01,0.6,UK
82,5.2,2000-11-01,0.6,UK
83,5.2,2000-12-01,0.6,UK
84,5.2,2001-01-01,0.6,UK
85,5.1,2001-02-01,0.6,UK
86,5.0,2001-03-01,0.5,UK
87,4.9,2001-04-01,0.5,UK
88,5.0,2001-05-01,0.4,UK
89,5.0,2001-06-01,0.4,UK
90,5.1,2001-07-01,0.4,UK
91,5.1,2001-08-01,0.4,UK
92,5.1,2001-09-01,0.5,UK
93,5.1,2001-10-01,0.5,UK
94,5.2,2001-11-01,0.5,UK
95,5.2,2001-12-01,0.5,UK
96,5.1,2002-01-01,0.5,UK
97,5.2,2002-02-01,0.6,UK
98,5.2,2002-03-01,0.5,UK
99,5.2,2002-04-01,0.5,UK
100,5.2,2002-05-01,0.5,UK
101,5.2,2002-06-01,0.4,UK
102,5.2,2002-07-01,0.5,UK
103,5.3,2002-08-01,0.4,UK
104,5.2,2002-09-01,0.5,UK
105,5.2,2002-10-01,0.5,UK
106,5.1,2002-11-01,0.5,UK
107,5.0,2002-12-01,0.5,UK
108,5.1,2003-01-01,0.5,UK
109,5.2,2003-02-01,0.5,UK
110,5.1,2003-03-01,0.5,UK
111,5.0,2003-04-01,0.5,UK
112,4.9,2003-05-01,0.5,UK
113,5.1,2003-06-01,0.5,UK
114,5.1,2003-07-01,0.5,UK
