,Year,Value,3-Month Net Change,1-Month % Change,3-Month % Change,12-Month % Change
12,1991,72833,11095,11.5,18.0,24.3
24,1992,77402,4621,13.2,6.3,6.3
36,1993,64012,-4739,6.9,-6.9,-17.3
48,1994,55100,3455,16.3,6.7,-13.9
60,1995,39564,2708,44.0,7.3,-28.2
72,1996,40901,5425,28.2,15.3,3.4
84,1997,42606,4264,14.9,11.1,4.2
96,1998,34526,2705,26.2,8.5,-19.0
108,1999,36095,821,15.9,2.3,4.5
120,2000,25443,-4607,2.3,-15.3,-29.5
132,2001,37549,13655,60.9,57.1,47.6
144,2002,46887,7318,14.9,18.5,24.9
156,2003,51722,10802,18.2,26.4,10.3
168,2004,50589,-766,11.7,-1.5,-2.2
180,2005,55543,1975,4.8,3.7,9.8
192,2006,49748,4610,10.7,10.2,-10.4
204,2007,52307,2681,14.2,5.4,5.1
216,2008,50103,-2399,5.1,-4.6,-4.2
228,2009,76284,15462,15.7,25.4,52.3
240,2010,71040,-18275,-15.6,-20.5,-6.9
252,2011,55203,-4862,2.3,-8.1,-22.3
264,2012,50078,-831,5.5,-1.6,-9.3
276,2013,52196,2740,8.8,5.5,4.2
288,2014,44762,-3112,6.5,-6.5,-14.2
300,2015,32811,-4052,11.0,-11.0,-26.7
312,2016,25320,-1810,10.2,-6.7,-22.8
324,2017,28000,120,23.7,0.4,10.6
336,2018,25340,1457,9.2,6.1,-9.5
348,2019,25215,2353,12.0,10.3,-0.5
360,2020,21626,2773,12.8,14.7,-14.2
372,2021,39734,-6545,-6.9,-14.1,83.7
384,2022,24995,-1725,16.5,-6.5,-37.1
396,2023,20907,3666,29.1,21.3,-16.4
