,Year,Label,Value,3-Month Net Change,1-Month % Change,3-Month % Change,12-Month % Change
6,1990,1990 Jul,65816,12430,16.5,23.3,
9,1990,1990 Oct,61738,-4078,6.8,-6.2,
12,1991,1991 Jan,72833,11095,11.5,18.0,24.3
15,1991,1991 Apr,73023,190,-5.1,0.3,36.8
18,1991,1991 Jul,72851,-172,-0.4,-0.2,10.7
21,1991,1991 Oct,72781,-70,6.7,-0.1,17.9
24,1992,1992 Jan,77402,4621,13.2,6.3,6.3
27,1992,1992 Apr,64188,-13214,-12.7,-17.1,-12.1
30,1992,1992 Jul,86110,21922,19.1,34.2,18.2
33,1992,1992 Oct,68751,-17359,-6.4,-20.2,-5.5
36,1993,1993 Jan,64012,-4739,6.9,-6.9,-17.3
39,1993,1993 Apr,47869,-16143,-10.6,-25.2,-25.4
42,1993,1993 Jul,60189,12320,1.2,25.7,-30.1
45,1993,1993 Oct,51645,-8544,-2.1,-14.2,-24.9
48,1994,1994 Jan,55100,3455,16.3,6.7,-13.9
51,1994,1994 Apr,41515,-13585,-14.1,-24.7,-13.3
54,1994,1994 Jul,48976,7461,12.7,18.0,-18.6
57,1994,1994 Oct,36856,-12120,-6.7,-24.7,-28.6
60,1995,1995 Jan,39564,2708,44.0,7.3,-28.2
63,1995,1995 Apr,36484,-3080,-6.2,-7.8,-12.1
66,1995,1995 Jul,46426,9942,10.8,27.3,-5.2
69,1995,1995 Oct,35476,-10950,-12.5,-23.6,-3.7
72,1996,1996 Jan,40901,5425,28.2,15.3,3.4
75,1996,1996 Apr,31483,-9418,-8.1,-23.0,-13.7
78,1996,1996 Jul,46444,14961,14.6,47.5,0.0
81,1996,1996 Oct,38342,-8102,-0.8,-17.4,8.1
84,1997,1997 Jan,42606,4264,14.9,11.1,4.2
87,1997,1997 Apr,31233,-11373,-13.5,-26.7,-0.8
90,1997,1997 Jul,39609,8376,11.8,26.8,-14.7
93,1997,1997 Oct,31821,-7788,-9.7,-19.7,-17.0
96,1998,1998 Jan,34526,2705,26.2,8.5,-19.0
99,1998,1998 Apr,24606,-9920,-23.0,-28.7,-21.2
102,1998,1998 Jul,42549,17943,30.6,72.9,7.4
105,1998,1998 Oct,35274,-7275,-5.9,-17.1,10.9
108,1999,1999 Jan,36095,821,15.9,2.3,4.5
111,1999,1999 Apr,28385,-7710,-15.0,-21.4,15.4
114,1999,1999 Jul,37398,9013,13.1,31.8,-12.1
117,1999,1999 Oct,30050,-7348,-0.5,-19.6,-14.8
120,2000,2000 Jan,25443,-4607,2.3,-15.3,-29.5
123,2000,2000 Apr,20260,-5183,-21.6,-20.4,-28.6
126,2000,2000 Jul,34102,13842,23.0,68.3,-8.8
129,2000,2000 Oct,23894,-10208,-9.4,-29.9,-20.5
132,2001,2001 Jan,37549,13655,60.9,57.1,47.6
135,2001,2001 Apr,29350,-8199,-15.9,-21.8,44.9
138,2001,2001 Jul,38306,8956,6.8,30.5,12.3
141,2001,2001 Oct,39569,1263,7.2,3.3,65.6
144,2002,2002 Jan,46887,7318,14.9,18.5,24.9
147,2002,2002 Apr,40238,-6649,-10.6,-14.2,37.1
150,2002,2002 Jul,51513,11275,7.3,28.0,34.5
153,2002,2002 Oct,40920,-10593,-0.4,-20.6,3.4
156,2003,2003 Jan,51722,10802,18.2,26.4,10.3
159,2003,2003 Apr,49581,-2141,-8.6,-4.1,23.2
162,2003,2003 Jul,61421,11840,0.6,23.9,19.2
165,2003,2003 Oct,51355,-10066,-6.5,-16.4,25.5
168,2004,2004 Jan,50589,-766,11.7,-1.5,-2.2
171,2004,2004 Apr,43269,-7320,-19.2,-14.5,-12.7
174,2004,2004 Jul,62067,18798,9.0,43.4,1.1
177,2004,2004 Oct,53568,-8499,-2.9,-13.7,4.3
180,2005,2005 Jan,55543,1975,4.8,3.7,9.8
183,2005,2005 Apr,49759,-5784,-10.7,-10.4,15.0
186,2005,2005 Jul,57046,7287,10.9,14.6,-8.1
189,2005,2005 Oct,45138,-11908,-6.1,-20.9,-15.7
192,2006,2006 Jan,49748,4610,10.7,10.2,-10.4
195,2006,2006 Apr,45529,-4219,-8.9,-8.5,-8.5
198,2006,2006 Jul,59996,14467,20.3,31.8,5.2
201,2006,2006 Oct,49626,-10370,-4.8,-17.3,9.9
204,2007,2007 Jan,52307,2681,14.2,5.4,5.1
207,2007,2007 Apr,43347,-8960,-6.6,-17.1,-4.8
210,2007,2007 Jul,57759,14412,13.4,33.2,-3.7
213,2007,2007 Oct,52502,-5257,2.1,-9.1,5.8
216,2008,2008 Jan,50103,-2399,5.1,-4.6,-4.2
219,2008,2008 Apr,44192,-5911,-9.9,-11.8,1.9
222,2008,2008 Jul,62895,18703,12.1,42.3,8.9
225,2008,2008 Oct,60822,-2073,1.5,-3.3,15.8
228,2009,2009 Jan,76284,15462,15.7,25.4,52.3
231,2009,2009 Apr,82900,6616,1.5,8.7,87.6
234,2009,2009 Jul,103195,20295,-0.1,24.5,64.1
237,2009,2009 Oct,89315,-13880,-2.9,-13.5,46.8
240,2010,2010 Jan,71040,-18275,-15.6,-20.5,-6.9
243,2010,2010 Apr,66008,-5032,-7.3,-7.1,-20.4
246,2010,2010 Jul,74391,8383,9.1,12.7,-27.9
249,2010,2010 Oct,60065,-14326,-5.5,-19.3,-32.7
252,2011,2011 Jan,55203,-4862,2.3,-8.1,-22.3
255,2011,2011 Apr,48669,-6534,-6.5,-11.8,-26.3
258,2011,2011 Jul,61527,12858,8.5,26.4,-17.3
261,2011,2011 Oct,50909,-10618,-7.0,-17.3,-15.2
264,2012,2012 Jan,50078,-831,5.5,-1.6,-9.3
267,2012,2012 Apr,44278,-5800,-8.4,-11.6,-9.0
270,2012,2012 Jul,57373,13095,11.4,29.6,-6.8
273,2012,2012 Oct,49456,-7917,0.1,-13.8,-2.9
276,2013,2013 Jan,52196,2740,8.8,5.5,4.2
279,2013,2013 Apr,43756,-8440,-8.7,-16.2,-1.2
282,2013,2013 Jul,55998,12242,6.9,28.0,-2.4
285,2013,2013 Oct,47874,-8124,-1.8,-14.5,-3.2
288,2014,2014 Jan,44762,-3112,6.5,-6.5,-14.2
291,2014,2014 Apr,39041,-5721,-11.0,-12.8,-10.8
294,2014,2014 Jul,45857,6816,10.0,17.5,-18.1
297,2014,2014 Oct,36863,-8994,-5.8,-19.6,-23.0
300,2015,2015 Jan,32811,-4052,11.0,-11.0,-26.7
303,2015,2015 Apr,25536,-7275,-11.4,-22.2,-34.6
306,2015,2015 Jul,32417,6881,9.7,26.9,-29.3
309,2015,2015 Oct,27130,-5287,3.8,-16.3,-26.4
312,2016,2016 Jan,25320,-1810,10.2,-6.7,-22.8
315,2016,2016 Apr,22718,-2602,-14.8,-10.3,-11.0
318,2016,2016 Jul,31582,8864,16.7,39.0,-2.6
321,2016,2016 Oct,27880,-3702,0.7,-11.7,2.8
324,2017,2017 Jan,28000,120,23.7,0.4,10.6
327,2017,2017 Apr,18523,-9477,-23.0,-33.8,-18.5
330,2017,2017 Jul,27812,9289,31.1,50.1,-11.9
333,2017,2017 Oct,23883,-3929,-11.8,-14.1,-14.3
336,2018,2018 Jan,25340,1457,9.2,6.1,-9.5
339,2018,2018 Apr,19190,-6150,-17.9,-24.3,3.6
342,2018,2018 Jul,26688,7498,13.5,39.1,-4.0
345,2018,2018 Oct,22862,-3826,6.2,-14.3,-4.3
348,2019,2019 Jan,25215,2353,12.0,10.3,-0.5
351,2019,2019 Apr,19722,-5493,-19.4,-21.8,2.8
354,2019,2019 Jul,27329,7607,18.5,38.6,2.4
357,2019,2019 Oct,18853,-8476,-7.8,-31.0,-17.5
360,2020,2020 Jan,21626,2773,12.8,14.7,-14.2
363,2020,2020 Apr,97956,76330,302.3,353.0,396.7
366,2020,2020 Jul,80282,-17674,-11.1,-18.0,193.8
