,Year,Type,Values
0,1962,Discretionary,12.306
1,1963,Discretionary,12.18
2,1964,Discretionary,11.959
3,1965,Discretionary,10.967
4,1966,Discretionary,11.55
5,1967,Discretionary,12.728
6,1968,Discretionary,13.144
7,1969,Discretionary,11.968
8,1970,Discretionary,11.489
9,1971,Discretionary,10.974
10,1972,Discretionary,10.569
11,1973,Discretionary,9.639
12,1974,Discretionary,9.32
13,1975,Discretionary,9.83
14,1976,Discretionary,9.83
15,1977,Discretionary,9.735
16,1978,Discretionary,9.62
17,1979,Discretionary,9.355
18,1980,Discretionary,9.897
19,1981,Discretionary,9.827
20,1982,Discretionary,9.838
21,1983,Discretionary,9.992
22,1984,Discretionary,9.608
23,1985,Discretionary,9.749
24,1986,Discretionary,9.688
25,1987,Discretionary,9.316
26,1988,Discretionary,9.038
27,1989,Discretionary,8.8
28,1990,Discretionary,8.486
29,1991,Discretionary,8.752
30,1992,Discretionary,8.32
31,1993,Discretionary,7.966
32,1994,Discretionary,7.543
33,1995,Discretionary,7.205
34,1996,Discretionary,6.7
35,1997,Discretionary,6.473
36,1998,Discretionary,6.181
37,1999,Discretionary,6.035
38,2000,Discretionary,6.075
39,2001,Discretionary,6.166
40,2002,Discretionary,6.778
41,2003,Discretionary,7.309
42,2004,Discretionary,7.441
43,2005,Discretionary,7.543
44,2006,Discretionary,7.455
45,2007,Discretionary,7.281
46,2008,Discretionary,7.67
47,2009,Discretionary,8.554
48,2010,Discretionary,9.051
49,2011,Discretionary,8.71
50,2012,Discretionary,7.919
51,2013,Discretionary,7.215
52,2014,Discretionary,6.786
53,2015,Discretionary,6.481
54,2016,Discretionary,6.394
55,2017,Discretionary,6.237
56,2018,Discretionary,6.214
57,2019,Discretionary,6.322
58,2020,Discretionary,7.729
59,2021,Discretionary,7.223
60,2022,Discretionary,6.642
61,1962,Net Interest,1.176
62,1963,Net Interest,1.252
63,1964,Net Interest,1.239
64,1965,Net Interest,1.211
65,1966,Net Interest,1.203
66,1967,Net Interest,1.227
67,1968,Net Interest,1.236
68,1969,Net Interest,1.295
69,1970,Net Interest,1.374
70,1971,Net Interest,1.329
71,1972,Net Interest,1.273
72,1973,Net Interest,1.283
73,1974,Net Interest,1.446
74,1975,Net Interest,1.446
75,1976,Net Interest,1.496
76,1977,Net Interest,1.477
77,1978,Net Interest,1.56
78,1979,Net Interest,1.662
79,1980,Net Interest,1.882
80,1981,Net Interest,2.195
81,1982,Net Interest,2.566
82,1983,Net Interest,2.54
83,1984,Net Interest,2.813
84,1985,Net Interest,3.036
85,1986,Net Interest,3.005
86,1987,Net Interest,2.907
87,1988,Net Interest,2.954
88,1989,Net Interest,3.042
89,1990,Net Interest,3.125
90,1991,Net Interest,3.191
91,1992,Net Interest,3.107
92,1993,Net Interest,2.933
93,1994,Net Interest,2.828
94,1995,Net Interest,3.07
95,1996,Net Interest,3.032
96,1997,Net Interest,2.887
97,1998,Net Interest,2.7
98,1999,Net Interest,2.424
99,2000,Net Interest,2.204
100,2001,Net Interest,1.959
101,2002,Net Interest,1.579
102,2003,Net Interest,1.357
103,2004,Net Interest,1.332
104,2005,Net Interest,1.433
105,2006,Net Interest,1.662
106,2007,Net Interest,1.657
107,2008,Net Interest,1.708
108,2009,Net Interest,1.292
109,2010,Net Interest,1.318
110,2011,Net Interest,1.487
111,2012,Net Interest,1.368
112,2013,Net Interest,1.325
113,2014,Net Interest,1.318
114,2015,Net Interest,1.234
115,2016,Net Interest,1.295
116,2017,Net Interest,1.364
117,2018,Net Interest,1.601
118,2019,Net Interest,1.773
119,2020,Net Interest,1.64
120,2021,Net Interest,1.555
121,2022,Net Interest,1.899
122,1962,Mandatory,7.089
123,1963,Mandatory,7.123
124,1964,Mandatory,7.036
125,1965,Mandatory,6.705
126,1966,Mandatory,6.633
127,1967,Mandatory,7.304
128,1968,Mandatory,7.833
129,1969,Mandatory,7.7139999999999995
130,1970,Mandatory,8.025
131,1971,Mandatory,9.042
132,1972,Mandatory,9.447
133,1973,Mandatory,9.906
134,1974,Mandatory,10.25
135,1975,Mandatory,11.684000000000001
136,1976,Mandatory,11.685
137,1977,Mandatory,11.126
138,1978,Mandatory,11.007
139,1979,Mandatory,10.624
140,1980,Mandatory,11.475
141,1981,Mandatory,12.041
142,1982,Mandatory,12.278
143,1983,Mandatory,12.893
144,1984,Mandatory,11.388000000000002
145,1985,Mandatory,11.613
146,1986,Mandatory,11.215
147,1987,Mandatory,11.056
148,1988,Mandatory,10.934
149,1989,Mandatory,10.914
150,1990,Mandatory,11.581
151,1991,Mandatory,13.251
152,1992,Mandatory,12.266
153,1993,Mandatory,11.848
154,1994,Mandatory,11.906
155,1995,Mandatory,11.853000000000002
156,1996,Mandatory,11.679
157,1997,Mandatory,11.607999999999999
158,1998,Mandatory,11.493
159,1999,Mandatory,11.172
160,2000,Mandatory,11.007
161,2001,Mandatory,11.271
162,2002,Mandatory,11.883
163,2003,Mandatory,12.275
164,2004,Mandatory,12.099
165,2005,Mandatory,12.280000000000001
166,2006,Mandatory,12.469
167,2007,Mandatory,12.624
168,2008,Mandatory,13.285
169,2009,Mandatory,17.159
170,2010,Mandatory,15.497
171,2011,Mandatory,15.800999999999998
172,2012,Mandatory,15.438
173,2013,Mandatory,15.847
174,2014,Mandatory,15.274
175,2015,Mandatory,15.555
176,2016,Mandatory,15.659
177,2017,Mandatory,15.722
178,2018,Mandatory,14.983
179,2019,Mandatory,15.527
180,2020,Mandatory,24.384
181,2021,Mandatory,24.281000000000002
182,2022,Mandatory,20.564
