,Country Name,Year,GDP
0,Malta,1960,0.0
1,Luxembourg,1960,0.0
2,"Hong Kong SAR, China",1960,0.0
3,Singapore,1960,3.39
4,San Marino,1960,0.0
5,Malta,1961,0.0
6,Luxembourg,1961,0.0
7,"Hong Kong SAR, China",1961,1.74
8,Singapore,1961,2.99
9,San Marino,1961,0.0
10,Malta,1962,0.0
11,Luxembourg,1962,0.0
12,"Hong Kong SAR, China",1962,1.65
13,Singapore,1962,2.87
14,San Marino,1962,0.0
15,Malta,1963,0.0
16,Luxembourg,1963,0.0
17,"Hong Kong SAR, China",1963,1.53
18,Singapore,1963,2.97
19,San Marino,1963,0.0
20,Malta,1964,0.0
21,Luxembourg,1964,0.0
22,"Hong Kong SAR, China",1964,1.54
23,Singapore,1964,2.55
24,San Marino,1964,0.0
25,Malta,1965,0.0
26,Luxembourg,1965,0.0
27,"Hong Kong SAR, China",1965,1.41
28,Singapore,1965,2.58
29,San Marino,1965,0.0
30,Malta,1966,0.0
31,Luxembourg,1966,0.0
32,"Hong Kong SAR, China",1966,1.55
33,Singapore,1966,2.54
34,San Marino,1966,0.0
35,Malta,1967,0.0
36,Luxembourg,1967,0.0
37,"Hong Kong SAR, China",1967,1.57
38,Singapore,1967,2.36
39,San Marino,1967,0.0
40,Malta,1968,0.0
41,Luxembourg,1968,0.0
42,"Hong Kong SAR, China",1968,1.75
43,Singapore,1968,2.57
44,San Marino,1968,0.0
45,Malta,1969,0.0
46,Luxembourg,1969,0.0
47,"Hong Kong SAR, China",1969,1.81
48,Singapore,1969,2.74
49,San Marino,1969,0.0
50,Malta,1970,1.16
51,Luxembourg,1970,1.61
52,"Hong Kong SAR, China",1970,1.79
53,Singapore,1970,2.71
54,San Marino,1970,0.0
55,Malta,1971,1.14
56,Luxembourg,1971,1.68
57,"Hong Kong SAR, China",1971,1.75
58,Singapore,1971,2.59
59,San Marino,1971,0.0
60,Malta,1972,1.14
61,Luxembourg,1972,1.56
62,"Hong Kong SAR, China",1972,1.61
63,Singapore,1972,2.29
64,San Marino,1972,0.0
65,Malta,1973,1.34
66,Luxembourg,1973,1.62
67,"Hong Kong SAR, China",1973,1.65
68,Singapore,1973,2.46
69,San Marino,1973,0.0
70,Malta,1974,1.76
71,Luxembourg,1974,1.8
72,"Hong Kong SAR, China",1974,1.68
73,Singapore,1974,3.14
74,San Marino,1974,0.0
75,Malta,1975,1.6
76,Luxembourg,1975,1.76
77,"Hong Kong SAR, China",1975,1.61
78,Singapore,1975,2.84
79,San Marino,1975,0.0
80,Malta,1976,1.62
81,Luxembourg,1976,1.66
82,"Hong Kong SAR, China",1976,1.68
83,Singapore,1976,3.06
84,San Marino,1976,0.0
85,Malta,1977,1.67
86,Luxembourg,1977,1.65
87,"Hong Kong SAR, China",1977,1.6
88,Singapore,1977,3.27
89,San Marino,1977,0.0
90,Malta,1978,1.54
91,Luxembourg,1978,1.62
92,"Hong Kong SAR, China",1978,1.7
93,Singapore,1978,3.35
94,San Marino,1978,0.0
95,Malta,1979,1.64
96,Luxembourg,1979,1.73
97,"Hong Kong SAR, China",1979,1.78
98,Singapore,1979,3.75
99,San Marino,1979,0.0
100,Malta,1980,1.67
101,Luxembourg,1980,1.73
102,"Hong Kong SAR, China",1980,1.78
103,Singapore,1980,4.11
104,San Marino,1980,0.0
105,Malta,1981,1.53
106,Luxembourg,1981,1.72
107,"Hong Kong SAR, China",1981,1.83
108,Singapore,1981,4.0
109,San Marino,1981,0.0
110,Malta,1982,1.38
111,Luxembourg,1982,1.75
112,"Hong Kong SAR, China",1982,1.69
113,Singapore,1982,3.73
114,San Marino,1982,0.0
115,Malta,1983,1.33
116,Luxembourg,1983,1.76
117,"Hong Kong SAR, China",1983,1.86
118,Singapore,1983,3.33
119,San Marino,1983,0.0
120,Malta,1984,1.39
121,Luxembourg,1984,1.95
122,"Hong Kong SAR, China",1984,2.0
123,Singapore,1984,3.13
124,San Marino,1984,0.0
125,Malta,1985,1.44
126,Luxembourg,1985,2.07
127,"Hong Kong SAR, China",1985,1.98
128,Singapore,1985,3.04
129,San Marino,1985,0.0
130,Malta,1986,1.38
131,Luxembourg,1986,1.89
132,"Hong Kong SAR, China",1986,2.0
133,Singapore,1986,2.95
134,San Marino,1986,0.0
135,Malta,1987,1.48
136,Luxembourg,1987,1.87
137,"Hong Kong SAR, China",1987,2.15
