,DATE,Under,Total,underpct,cont
0,1955-05-01,2063.0,64381,3.204361535235551,US
1,1955-06-01,1982.0,64482,3.0737260010545575,US
2,1955-07-01,2123.0,65145,3.258884027937677,US
3,1955-08-01,2203.0,65581,3.359204647687592,US
4,1955-09-01,2133.0,65628,3.250137136588042,US
5,1955-10-01,2093.0,65821,3.179836222482187,US
6,1955-11-01,2199.0,66037,3.3299513908869267,US
7,1955-12-01,2149.0,66445,3.2342538941982095,US
8,1956-01-01,2149.0,66419,3.235519956638914,US
9,1956-02-01,2087.0,66124,3.1561913979795535,US
10,1956-03-01,1980.0,66175,2.9920664903664527,US
11,1956-04-01,2051.0,66264,3.095194977665097,US
12,1956-05-01,2194.0,66722,3.28827073528971,US
13,1956-06-01,2331.0,66702,3.494647836646577,US
14,1956-07-01,2287.0,66752,3.4261145733461165,US
15,1956-08-01,2353.0,66673,3.5291647293507116,US
16,1956-09-01,2399.0,66714,3.5959468777168215,US
17,1956-10-01,2417.0,66546,3.6320740540378087,US
18,1956-11-01,2414.0,66657,3.621525121142566,US
19,1956-12-01,2306.0,66700,3.457271364317841,US
20,1957-01-01,2283.0,66428,3.436803757451677,US
21,1957-02-01,2426.0,66879,3.6274465826343096,US
22,1957-03-01,2435.0,66913,3.6390536965910956,US
23,1957-04-01,2283.0,66647,3.4255105256050538,US
24,1957-05-01,2377.0,66695,3.563985306244846,US
25,1957-06-01,2476.0,67052,3.692656445743602,US
26,1957-07-01,2449.0,67336,3.636984673874302,US
27,1957-08-01,2440.0,66706,3.657841873294756,US
28,1957-09-01,2484.0,67064,3.7039246093284026,US
29,1957-10-01,2641.0,67066,3.9379119076730382,US
30,1957-11-01,2643.0,67123,3.9375474874484158,US
31,1957-12-01,2712.0,67398,4.023858274726253,US
32,1958-01-01,3291.0,67095,4.904985468365751,US
33,1958-02-01,3437.0,67201,5.114507224594872,US
34,1958-03-01,3972.0,67223,5.908691965547506,US
35,1958-04-01,3743.0,67647,5.533135246204561,US
36,1958-05-01,3602.0,67895,5.305250754842036,US
37,1958-06-01,3340.0,67674,4.935425717409936,US
38,1958-07-01,2955.0,67824,4.35686482661005,US
39,1958-08-01,3178.0,68037,4.670987844849126,US
40,1958-09-01,3166.0,68002,4.6557454192523755,US
41,1958-10-01,2969.0,68045,4.363288999926519,US
42,1958-11-01,2805.0,67658,4.1458511927636055,US
43,1958-12-01,2825.0,67740,4.170357248302333,US
44,1959-01-01,2749.0,67936,4.0464554875176635,US
45,1959-02-01,2515.0,67649,3.7177194045736077,US
46,1959-03-01,2846.0,68068,4.181113004642416,US
47,1959-04-01,2592.0,68339,3.7928562021686005,US
48,1959-05-01,2353.0,68178,3.4512599372231514,US
49,1959-06-01,2543.0,68278,3.7244793344854856,US
50,1959-07-01,2668.0,68539,3.8926742438611592,US
51,1959-08-01,2599.0,68432,3.797930792611644,US
52,1959-09-01,2507.0,68545,3.6574513093588155,US
53,1959-10-01,2730.0,68821,3.9668124555005013,US
54,1959-11-01,2799.0,68533,4.08416383348168,US
55,1959-12-01,2734.0,68994,3.962663420007537,US
56,1960-01-01,2507.0,68962,3.635335402105507,US
57,1960-02-01,2565.0,68949,3.720140973763216,US
58,1960-03-01,2405.0,68399,3.5161332768022926,US
59,1960-04-01,2769.0,69579,3.9796490320355282,US
60,1960-05-01,2733.0,69626,3.9252578059920142,US
61,1960-06-01,2904.0,69934,4.15248663025138,US
62,1960-07-01,2830.0,69745,4.0576385403971615,US
