,Country,Frequency,MEAS,Time,Value
0,Australia,Annual,PCT,2000,24.9
1,Australia,Annual,PCT,2001,24.6
2,Australia,Annual,PCT,2002,23.200001
3,Australia,Annual,PCT,2003,23.200001
4,Australia,Annual,PCT,2004,22.799999
5,Australia,Annual,PCT,2005,22.5
6,Australia,Annual,PCT,2006,20.4
7,Australia,Annual,PCT,2007,18.799999
8,Australia,Annual,PCT,2008,18.799999
9,Australia,Annual,PCT,2009,19.6
10,Australia,Annual,PCT,2010,18.4
11,Australia,Annual,PCT,2011,18.4
12,Australia,Annual,PCT,2012,18.200001
13,Australia,Annual,PCT,2013,17.0
14,Australia,Annual,PCT,2014,15.1
15,Australia,Annual,PCT,2016,14.6
16,Australia,Annual,PCT,2018,13.7
17,Austria,Annual,PCT,2000,36.900002
18,Austria,Annual,PCT,2001,36.200001
19,Austria,Annual,PCT,2002,36.0
20,Austria,Annual,PCT,2003,34.599998
21,Austria,Annual,PCT,2004,34.799999
22,Austria,Annual,PCT,2005,33.799999
23,Austria,Annual,PCT,2006,31.6
24,Austria,Annual,PCT,2007,30.4
25,Austria,Annual,PCT,2008,29.6
26,Austria,Annual,PCT,2009,29.299999
27,Austria,Annual,PCT,2010,28.9
28,Austria,Annual,PCT,2011,28.299999
29,Austria,Annual,PCT,2012,28.0
30,Austria,Annual,PCT,2013,27.799999
31,Austria,Annual,PCT,2014,27.700001
32,Austria,Annual,PCT,2015,27.4
33,Austria,Annual,PCT,2016,26.9
34,Austria,Annual,PCT,2017,26.700001
35,Austria,Annual,PCT,2018,26.299999
36,Austria,Annual,PCT,2019,26.299999
37,Belgium,Annual,PCT,2000,56.599998
38,Belgium,Annual,PCT,2001,57.599998
39,Belgium,Annual,PCT,2002,56.900002
40,Belgium,Annual,PCT,2003,55.400002
41,Belgium,Annual,PCT,2004,55.299999
42,Belgium,Annual,PCT,2005,54.900002
43,Belgium,Annual,PCT,2006,53.799999
44,Belgium,Annual,PCT,2007,53.599998
45,Belgium,Annual,PCT,2008,53.400002
46,Belgium,Annual,PCT,2009,53.799999
47,Belgium,Annual,PCT,2010,53.0
48,Belgium,Annual,PCT,2011,54.200001
49,Belgium,Annual,PCT,2012,54.099998
50,Belgium,Annual,PCT,2013,53.299999
51,Belgium,Annual,PCT,2014,52.900002
52,Belgium,Annual,PCT,2015,52.299999
53,Belgium,Annual,PCT,2016,51.599998
54,Belgium,Annual,PCT,2017,50.700001
55,Belgium,Annual,PCT,2018,50.0
56,Belgium,Annual,PCT,2019,49.099998
57,Canada,Annual,PCT,2000,28.200001
58,Canada,Annual,PCT,2001,28.4
59,Canada,Annual,PCT,2002,28.299999
60,Canada,Annual,PCT,2003,28.200001
61,Canada,Annual,PCT,2004,27.799999
62,Canada,Annual,PCT,2005,27.700001
63,Canada,Annual,PCT,2006,27.4
64,Canada,Annual,PCT,2007,27.299999
65,Canada,Annual,PCT,2008,27.0
66,Canada,Annual,PCT,2009,27.299999
67,Canada,Annual,PCT,2010,27.200001
68,Canada,Annual,PCT,2011,26.9
69,Canada,Annual,PCT,2012,27.200001
70,Canada,Annual,PCT,2013,27.1
71,Canada,Annual,PCT,2014,26.4
