,Country,Time,Frequency,MEAS,Value,vegaistrash
0,Australia,2000,Annual,PCT,24.9,1
1,Australia,2001,Annual,PCT,24.6,1
2,Australia,2002,Annual,PCT,23.2,1
3,Australia,2003,Annual,PCT,23.2,1
4,Australia,2004,Annual,PCT,22.8,1
5,Australia,2005,Annual,PCT,22.5,1
6,Australia,2006,Annual,PCT,20.4,1
7,Australia,2007,Annual,PCT,18.8,1
8,Australia,2008,Annual,PCT,18.8,1
9,Australia,2009,Annual,PCT,19.6,1
10,Australia,2010,Annual,PCT,18.4,1
11,Australia,2011,Annual,PCT,18.4,1
12,Australia,2012,Annual,PCT,18.2,1
13,Australia,2013,Annual,PCT,17.0,1
14,Australia,2014,Annual,PCT,15.1,1
17,Australia,2015,Annual,PCT,15.1,1
15,Australia,2016,Annual,PCT,14.6,1
18,Australia,2017,Annual,PCT,14.6,1
16,Australia,2018,Annual,PCT,13.7,1
19,Australia,2019,Annual,PCT,13.7,1
20,Australia,2020,Annual,PCT,13.7,1
21,Austria,2000,Annual,PCT,36.9,1
22,Austria,2001,Annual,PCT,36.2,1
23,Austria,2002,Annual,PCT,36.0,1
24,Austria,2003,Annual,PCT,34.6,1
25,Austria,2004,Annual,PCT,34.8,1
26,Austria,2005,Annual,PCT,33.8,1
27,Austria,2006,Annual,PCT,31.6,1
28,Austria,2007,Annual,PCT,30.4,1
29,Austria,2008,Annual,PCT,29.6,1
30,Austria,2009,Annual,PCT,29.3,1
31,Austria,2010,Annual,PCT,28.9,1
32,Austria,2011,Annual,PCT,28.3,1
33,Austria,2012,Annual,PCT,28.0,1
34,Austria,2013,Annual,PCT,27.8,1
35,Austria,2014,Annual,PCT,27.7,1
38,Austria,2015,Annual,PCT,27.4,1
36,Austria,2016,Annual,PCT,26.9,1
39,Austria,2017,Annual,PCT,26.7,1
37,Austria,2018,Annual,PCT,26.3,1
40,Austria,2019,Annual,PCT,26.3,1
41,Austria,2020,Annual,PCT,26.3,1
42,Belgium,2000,Annual,PCT,56.6,1
43,Belgium,2001,Annual,PCT,57.6,1
44,Belgium,2002,Annual,PCT,56.9,1
45,Belgium,2003,Annual,PCT,55.4,1
46,Belgium,2004,Annual,PCT,55.3,1
47,Belgium,2005,Annual,PCT,54.9,1
48,Belgium,2006,Annual,PCT,53.8,1
49,Belgium,2007,Annual,PCT,53.6,1
50,Belgium,2008,Annual,PCT,53.4,1
51,Belgium,2009,Annual,PCT,53.8,1
52,Belgium,2010,Annual,PCT,53.0,1
53,Belgium,2011,Annual,PCT,54.2,1
54,Belgium,2012,Annual,PCT,54.1,1
55,Belgium,2013,Annual,PCT,53.3,1
56,Belgium,2014,Annual,PCT,52.9,1
59,Belgium,2015,Annual,PCT,52.3,1
57,Belgium,2016,Annual,PCT,51.6,1
60,Belgium,2017,Annual,PCT,50.7,1
58,Belgium,2018,Annual,PCT,50.0,1
61,Belgium,2019,Annual,PCT,49.1,1
62,Belgium,2020,Annual,PCT,49.1,1
63,Canada,2000,Annual,PCT,28.2,1
64,Canada,2001,Annual,PCT,28.4,1
65,Canada,2002,Annual,PCT,28.3,1
66,Canada,2003,Annual,PCT,28.2,1
67,Canada,2004,Annual,PCT,27.8,1
68,Canada,2005,Annual,PCT,27.7,1
69,Canada,2006,Annual,PCT,27.4,1
70,Canada,2007,Annual,PCT,27.3,1
71,Canada,2008,Annual,PCT,27.0,1
72,Canada,2009,Annual,PCT,27.3,1
73,Canada,2010,Annual,PCT,27.2,1
74,Canada,2011,Annual,PCT,26.9,1
75,Canada,2012,Annual,PCT,27.2,1
76,Canada,2013,Annual,PCT,27.1,1
77,Canada,2014,Annual,PCT,26.4,1
80,Canada,2015,Annual,PCT,26.5,1
78,Canada,2016,Annual,PCT,26.3,1
81,Canada,2017,Annual,PCT,26.3,1
79,Canada,2018,Annual,PCT,25.9,1
82,Canada,2019,Annual,PCT,26.1,1
83,Canada,2020,Annual,PCT,27.2,1
84,Chile,2000,Annual,PCT,11.2,1
85,Chile,2001,Annual,PCT,10.9,1
86,Chile,2002,Annual,PCT,11.1,1
87,Chile,2003,Annual,PCT,11.7,1
88,Chile,2004,Annual,PCT,11.5,1
89,Chile,2005,Annual,PCT,11.1,1
90,Chile,2006,Annual,PCT,11.2,1
91,Chile,2007,Annual,PCT,11.5,1
92,Chile,2008,Annual,PCT,12.9,1
93,Chile,2009,Annual,PCT,13.7,1
94,Chile,2010,Annual,PCT,13.9,1
95,Chile,2011,Annual,PCT,13.8,1
96,Chile,2012,Annual,PCT,14.4,1
97,Chile,2013,Annual,PCT,14.1,1
98,Chile,2014,Annual,PCT,14.6,1
101,Chile,2015,Annual,PCT,15.3,1
99,Chile,2016,Annual,PCT,16.9,1
102,Chile,2017,Annual,PCT,17.0,1
100,Chile,2018,Annual,PCT,16.6,1
103,Chile,2019,Annual,PCT,16.6,1
104,Chile,2020,Annual,PCT,16.6,1
105,Colombia,2000,Annual,PCT,12.3,1
106,Colombia,2001,Annual,PCT,12.3,1
107,Colombia,2002,Annual,PCT,10.9,1
108,Colombia,2003,Annual,PCT,10.9,1
109,Colombia,2004,Annual,PCT,10.5,1
110,Colombia,2005,Annual,PCT,9.6,1
111,Colombia,2006,Annual,PCT,9.6,1
112,Colombia,2007,Annual,PCT,9.6,1
113,Colombia,2008,Annual,PCT,9.6,1
114,Colombia,2009,Annual,PCT,9.4,1
115,Colombia,2010,Annual,PCT,9.2,1
116,Colombia,2011,Annual,PCT,9.1,1
117,Colombia,2012,Annual,PCT,9.1,1
118,Colombia,2013,Annual,PCT,9.7,1
119,Colombia,2014,Annual,PCT,9.6,1
122,Colombia,2015,Annual,PCT,9.4,1
120,Colombia,2016,Annual,PCT,9.5,1
123,Colombia,2017,Annual,PCT,9.5,1
121,Colombia,2018,Annual,PCT,9.5,1
124,Colombia,2019,Annual,PCT,9.5,1
125,Colombia,2020,Annual,PCT,9.5,1
126,Costa Rica,2000,Annual,PCT,14.3,1
127,Costa Rica,2001,Annual,PCT,13.5,1
128,Costa Rica,2002,Annual,PCT,14.3,1
129,Costa Rica,2003,Annual,PCT,14.5,1
130,Costa Rica,2004,Annual,PCT,13.9,1
131,Costa Rica,2005,Annual,PCT,13.3,1
132,Costa Rica,2006,Annual,PCT,12.9,1
133,Costa Rica,2007,Annual,PCT,11.5,1
134,Costa Rica,2008,Annual,PCT,12.0,1
135,Costa Rica,2009,Annual,PCT,13.0,1
136,Costa Rica,2010,Annual,PCT,12.9,1
137,Costa Rica,2011,Annual,PCT,13.4,1
138,Costa Rica,2012,Annual,PCT,13.1,1
139,Costa Rica,2013,Annual,PCT,13.7,1
140,Costa Rica,2014,Annual,PCT,12.4,1
143,Costa Rica,2015,Annual,PCT,18.6,1
141,Costa Rica,2016,Annual,PCT,19.3,1
144,Costa Rica,2017,Annual,PCT,19.3,1
142,Costa Rica,2018,Annual,PCT,19.4,1
145,Costa Rica,2019,Annual,PCT,20.5,1
146,Costa Rica,2020,Annual,PCT,20.5,1
147,Czech Republic,2000,Annual,PCT,27.2,1
148,Czech Republic,2001,Annual,PCT,23.8,1
149,Czech Republic,2002,Annual,PCT,22.4,1
150,Czech Republic,2003,Annual,PCT,22.3,1
151,Czech Republic,2004,Annual,PCT,20.6,1
152,Czech Republic,2005,Annual,PCT,19.1,1
153,Czech Republic,2006,Annual,PCT,18.1,1
154,Czech Republic,2007,Annual,PCT,17.4,1
155,Czech Republic,2008,Annual,PCT,16.9,1
156,Czech Republic,2009,Annual,PCT,16.7,1
157,Czech Republic,2010,Annual,PCT,16.1,1
158,Czech Republic,2011,Annual,PCT,15.4,1
159,Czech Republic,2012,Annual,PCT,14.8,1
160,Czech Republic,2013,Annual,PCT,13.6,1
161,Czech Republic,2014,Annual,PCT,12.9,1
164,Czech Republic,2015,Annual,PCT,11.9,1
162,Czech Republic,2016,Annual,PCT,11.9,1
165,Czech Republic,2017,Annual,PCT,11.7,1
163,Czech Republic,2018,Annual,PCT,11.4,1
166,Czech Republic,2019,Annual,PCT,11.4,1
167,Czech Republic,2020,Annual,PCT,11.4,1
168,Denmark,2000,Annual,PCT,74.5,1
169,Denmark,2001,Annual,PCT,73.9,1
170,Denmark,2002,Annual,PCT,73.6,1
171,Denmark,2003,Annual,PCT,72.4,1
172,Denmark,2004,Annual,PCT,71.7,1
173,Denmark,2005,Annual,PCT,71.5,1
174,Denmark,2006,Annual,PCT,69.7,1
175,Denmark,2007,Annual,PCT,69.0,1
176,Denmark,2008,Annual,PCT,68.8,1
177,Denmark,2009,Annual,PCT,68.9,1
178,Denmark,2010,Annual,PCT,68.1,1
179,Denmark,2011,Annual,PCT,68.7,1
180,Denmark,2012,Annual,PCT,69.0,1
181,Denmark,2013,Annual,PCT,68.8,1
182,Denmark,2014,Annual,PCT,68.5,1
185,Denmark,2015,Annual,PCT,68.2,1
183,Denmark,2016,Annual,PCT,67.4,1
186,Denmark,2017,Annual,PCT,66.7,1
184,Denmark,2018,Annual,PCT,67.5,1
187,Denmark,2019,Annual,PCT,67.0,1
188,Denmark,2020,Annual,PCT,67.0,1
189,Estonia,2000,Annual,PCT,14.0,1
190,Estonia,2001,Annual,PCT,14.0,1
191,Estonia,2002,Annual,PCT,12.6,1
192,Estonia,2003,Annual,PCT,11.0,1
193,Estonia,2004,Annual,PCT,9.4,1
194,Estonia,2005,Annual,PCT,8.7,1
195,Estonia,2006,Annual,PCT,8.4,1
196,Estonia,2007,Annual,PCT,7.6,1
197,Estonia,2008,Annual,PCT,6.2,1
198,Estonia,2009,Annual,PCT,7.6,1
199,Estonia,2010,Annual,PCT,8.2,1
200,Estonia,2011,Annual,PCT,7.0,1
201,Estonia,2012,Annual,PCT,6.0,1
202,Estonia,2013,Annual,PCT,5.6,1
203,Estonia,2014,Annual,PCT,5.3,1
206,Estonia,2015,Annual,PCT,4.5,1
204,Estonia,2016,Annual,PCT,5.0,1
207,Estonia,2017,Annual,PCT,4.7,1
205,Estonia,2018,Annual,PCT,5.9,1
208,Estonia,2019,Annual,PCT,6.0,1
209,Estonia,2020,Annual,PCT,6.0,1
210,Finland,2000,Annual,PCT,74.2,1
211,Finland,2001,Annual,PCT,76.6,1
212,Finland,2002,Annual,PCT,75.7,1
213,Finland,2003,Annual,PCT,74.5,1
214,Finland,2004,Annual,PCT,73.5,1
215,Finland,2005,Annual,PCT,72.7,1
216,Finland,2006,Annual,PCT,71.9,1
217,Finland,2007,Annual,PCT,71.1,1
218,Finland,2008,Annual,PCT,69.9,1
219,Finland,2009,Annual,PCT,72.5,1
220,Finland,2010,Annual,PCT,71.4,1
221,Finland,2011,Annual,PCT,69.6,1
222,Finland,2012,Annual,PCT,69.2,1
223,Finland,2013,Annual,PCT,67.5,1
224,Finland,2014,Annual,PCT,67.8,1
227,Finland,2015,Annual,PCT,67.5,1
225,Finland,2016,Annual,PCT,65.7,1
228,Finland,2017,Annual,PCT,62.9,1
226,Finland,2018,Annual,PCT,60.0,1
229,Finland,2019,Annual,PCT,58.8,1
230,Finland,2020,Annual,PCT,58.8,1
231,France,2000,Annual,PCT,10.8,1
232,France,2001,Annual,PCT,10.8,1
233,France,2002,Annual,PCT,10.8,1
234,France,2003,Annual,PCT,10.8,1
235,France,2004,Annual,PCT,10.5,1
236,France,2005,Annual,PCT,10.5,1
237,France,2006,Annual,PCT,10.5,1
238,France,2007,Annual,PCT,10.5,1
239,France,2008,Annual,PCT,10.6,1
240,France,2009,Annual,PCT,10.6,1
241,France,2010,Annual,PCT,10.8,1
242,France,2011,Annual,PCT,10.8,1
243,France,2012,Annual,PCT,10.8,1
244,France,2013,Annual,PCT,11.0,1
245,France,2014,Annual,PCT,11.0,1
248,France,2015,Annual,PCT,11.0,1
