,Country,Time,Frequency,MEAS,Value,vegaistrash,mean,rank
0,Colombia,2000,Annual,PCT,12.3,stop,9.91904761904762,37.0
1,Colombia,2001,Annual,PCT,12.3,stop,9.91904761904762,37.0
2,Colombia,2002,Annual,PCT,10.9,stop,9.91904761904762,37.0
3,Colombia,2003,Annual,PCT,10.9,stop,9.91904761904762,37.0
4,Colombia,2004,Annual,PCT,10.5,stop,9.91904761904762,37.0
5,Colombia,2005,Annual,PCT,9.6,stop,9.91904761904762,37.0
6,Colombia,2006,Annual,PCT,9.6,stop,9.91904761904762,37.0
7,Colombia,2007,Annual,PCT,9.6,stop,9.91904761904762,37.0
8,Colombia,2008,Annual,PCT,9.6,stop,9.91904761904762,37.0
9,Colombia,2009,Annual,PCT,9.4,stop,9.91904761904762,37.0
10,Colombia,2010,Annual,PCT,9.2,stop,9.91904761904762,37.0
11,Colombia,2011,Annual,PCT,9.1,stop,9.91904761904762,37.0
12,Colombia,2012,Annual,PCT,9.1,stop,9.91904761904762,37.0
13,Colombia,2013,Annual,PCT,9.7,stop,9.91904761904762,37.0
14,Colombia,2014,Annual,PCT,9.6,stop,9.91904761904762,37.0
15,Colombia,2015,Annual,PCT,9.4,stop,9.91904761904762,37.0
16,Colombia,2016,Annual,PCT,9.5,stop,9.91904761904762,37.0
17,Colombia,2017,Annual,PCT,9.5,stop,9.91904761904762,37.0
18,Colombia,2018,Annual,PCT,9.5,stop,9.91904761904762,37.0
19,Colombia,2019,Annual,PCT,9.5,stop,9.91904761904762,37.0
20,Colombia,2020,Annual,PCT,9.5,stop,9.91904761904762,37.0
21,Denmark,2000,Annual,PCT,74.5,stop,69.56666666666668,3.0
22,Denmark,2001,Annual,PCT,73.9,stop,69.56666666666668,3.0
23,Denmark,2002,Annual,PCT,73.6,stop,69.56666666666668,3.0
24,Denmark,2003,Annual,PCT,72.4,stop,69.56666666666668,3.0
25,Denmark,2004,Annual,PCT,71.7,stop,69.56666666666668,3.0
26,Denmark,2005,Annual,PCT,71.5,stop,69.56666666666668,3.0
27,Denmark,2006,Annual,PCT,69.7,stop,69.56666666666668,3.0
28,Denmark,2007,Annual,PCT,69.0,stop,69.56666666666668,3.0
29,Denmark,2008,Annual,PCT,68.8,stop,69.56666666666668,3.0
30,Denmark,2009,Annual,PCT,68.9,stop,69.56666666666668,3.0
31,Denmark,2010,Annual,PCT,68.1,stop,69.56666666666668,3.0
32,Denmark,2011,Annual,PCT,68.7,stop,69.56666666666668,3.0
33,Denmark,2012,Annual,PCT,69.0,stop,69.56666666666668,3.0
34,Denmark,2013,Annual,PCT,68.8,stop,69.56666666666668,3.0
35,Denmark,2014,Annual,PCT,68.5,stop,69.56666666666668,3.0
36,Denmark,2015,Annual,PCT,68.2,stop,69.56666666666668,3.0
37,Denmark,2016,Annual,PCT,67.4,stop,69.56666666666668,3.0
38,Denmark,2017,Annual,PCT,66.7,stop,69.56666666666668,3.0
39,Denmark,2018,Annual,PCT,67.5,stop,69.56666666666668,3.0
40,Denmark,2019,Annual,PCT,67.0,stop,69.56666666666668,3.0
41,Denmark,2020,Annual,PCT,67.0,stop,69.56666666666668,3.0
42,Iceland,2000,Annual,PCT,89.1,stop,87.95714285714286,1.0
43,Iceland,2001,Annual,PCT,88.9,stop,87.95714285714286,1.0
44,Iceland,2002,Annual,PCT,93.3,stop,87.95714285714286,1.0
45,Iceland,2003,Annual,PCT,86.5,stop,87.95714285714286,1.0
46,Iceland,2004,Annual,PCT,84.1,stop,87.95714285714286,1.0
47,Iceland,2005,Annual,PCT,84.1,stop,87.95714285714286,1.0
48,Iceland,2006,Annual,PCT,85.2,stop,87.95714285714286,1.0
49,Iceland,2007,Annual,PCT,84.9,stop,87.95714285714286,1.0
50,Iceland,2008,Annual,PCT,84.7,stop,87.95714285714286,1.0
51,Iceland,2009,Annual,PCT,84.9,stop,87.95714285714286,1.0
52,Iceland,2010,Annual,PCT,85.2,stop,87.95714285714286,1.0
53,Iceland,2011,Annual,PCT,85.0,stop,87.95714285714286,1.0
54,Iceland,2012,Annual,PCT,85.3,stop,87.95714285714286,1.0
55,Iceland,2013,Annual,PCT,88.9,stop,87.95714285714286,1.0
56,Iceland,2014,Annual,PCT,90.4,stop,87.95714285714286,1.0
57,Iceland,2015,Annual,PCT,91.6,stop,87.95714285714286,1.0
58,Iceland,2016,Annual,PCT,90.4,stop,87.95714285714286,1.0
59,Iceland,2017,Annual,PCT,91.0,stop,87.95714285714286,1.0
60,Iceland,2018,Annual,PCT,90.7,stop,87.95714285714286,1.0
61,Iceland,2019,Annual,PCT,90.7,stop,87.95714285714286,1.0
62,Iceland,2020,Annual,PCT,92.2,stop,87.95714285714286,1.0
63,Korea,2000,Annual,PCT,11.4,stop,10.5,36.0
64,Korea,2001,Annual,PCT,11.5,stop,10.5,36.0
65,Korea,2002,Annual,PCT,11.3,stop,10.5,36.0
66,Korea,2003,Annual,PCT,10.7,stop,10.5,36.0
67,Korea,2004,Annual,PCT,10.3,stop,10.5,36.0
68,Korea,2005,Annual,PCT,9.9,stop,10.5,36.0
69,Korea,2006,Annual,PCT,10.0,stop,10.5,36.0
70,Korea,2007,Annual,PCT,10.5,stop,10.5,36.0
71,Korea,2008,Annual,PCT,10.2,stop,10.5,36.0
72,Korea,2009,Annual,PCT,9.9,stop,10.5,36.0
73,Korea,2010,Annual,PCT,9.6,stop,10.5,36.0
74,Korea,2011,Annual,PCT,9.8,stop,10.5,36.0
75,Korea,2012,Annual,PCT,9.9,stop,10.5,36.0
76,Korea,2013,Annual,PCT,10.1,stop,10.5,36.0
77,Korea,2014,Annual,PCT,10.1,stop,10.5,36.0
78,Korea,2015,Annual,PCT,10.0,stop,10.5,36.0
79,Korea,2016,Annual,PCT,10.0,stop,10.5,36.0
80,Korea,2017,Annual,PCT,10.5,stop,10.5,36.0
81,Korea,2018,Annual,PCT,11.6,stop,10.5,36.0
82,Korea,2019,Annual,PCT,11.6,stop,10.5,36.0
83,Korea,2020,Annual,PCT,11.6,stop,10.5,36.0
84,OECD - Total,2000,Annual,PCT,20.9,stop,17.84285714285714,23.0
85,OECD - Total,2001,Annual,PCT,20.3,stop,17.84285714285714,23.0
86,OECD - Total,2002,Annual,PCT,20.0,stop,17.84285714285714,23.0
87,OECD - Total,2003,Annual,PCT,19.7,stop,17.84285714285714,23.0
88,OECD - Total,2004,Annual,PCT,19.3,stop,17.84285714285714,23.0
89,OECD - Total,2005,Annual,PCT,19.0,stop,17.84285714285714,23.0
90,OECD - Total,2006,Annual,PCT,18.3,stop,17.84285714285714,23.0
91,OECD - Total,2007,Annual,PCT,18.2,stop,17.84285714285714,23.0
92,OECD - Total,2008,Annual,PCT,18.0,stop,17.84285714285714,23.0
93,OECD - Total,2009,Annual,PCT,18.1,stop,17.84285714285714,23.0
94,OECD - Total,2010,Annual,PCT,17.8,stop,17.84285714285714,23.0
95,OECD - Total,2011,Annual,PCT,17.7,stop,17.84285714285714,23.0
96,OECD - Total,2012,Annual,PCT,17.3,stop,17.84285714285714,23.0
97,OECD - Total,2013,Annual,PCT,17.1,stop,17.84285714285714,23.0
98,OECD - Total,2014,Annual,PCT,16.8,stop,17.84285714285714,23.0
99,OECD - Total,2015,Annual,PCT,16.5,stop,17.84285714285714,23.0
100,OECD - Total,2016,Annual,PCT,16.2,stop,17.84285714285714,23.0
101,OECD - Total,2017,Annual,PCT,16.0,stop,17.84285714285714,23.0
102,OECD - Total,2018,Annual,PCT,15.9,stop,17.84285714285714,23.0
103,OECD - Total,2019,Annual,PCT,15.8,stop,17.84285714285714,23.0
104,OECD - Total,2020,Annual,PCT,15.8,stop,17.84285714285714,23.0
105,Sweden,2000,Annual,PCT,81.0,stop,70.6047619047619,2.0
106,Sweden,2001,Annual,PCT,78.7,stop,70.6047619047619,2.0
107,Sweden,2002,Annual,PCT,78.0,stop,70.6047619047619,2.0
108,Sweden,2003,Annual,PCT,77.2,stop,70.6047619047619,2.0
109,Sweden,2004,Annual,PCT,76.4,stop,70.6047619047619,2.0
110,Sweden,2005,Annual,PCT,75.7,stop,70.6047619047619,2.0
111,Sweden,2006,Annual,PCT,74.3,stop,70.6047619047619,2.0
112,Sweden,2007,Annual,PCT,70.8,stop,70.6047619047619,2.0
113,Sweden,2008,Annual,PCT,68.3,stop,70.6047619047619,2.0
114,Sweden,2009,Annual,PCT,68.4,stop,70.6047619047619,2.0
115,Sweden,2010,Annual,PCT,68.2,stop,70.6047619047619,2.0
116,Sweden,2011,Annual,PCT,67.5,stop,70.6047619047619,2.0
