,Time,Country,Value
0,2000,Australia,24.9
39,2001,Australia,24.6
78,2002,Australia,23.2
117,2003,Australia,23.2
156,2004,Australia,22.8
195,2005,Australia,22.5
234,2006,Australia,20.4
273,2007,Australia,18.8
312,2008,Australia,18.8
351,2009,Australia,19.6
390,2010,Australia,18.4
429,2011,Australia,18.4
468,2012,Australia,18.2
507,2013,Australia,17.0
546,2014,Australia,15.1
585,2015,Australia,27.4
624,2016,Australia,14.6
663,2017,Australia,26.7
702,2018,Australia,13.7
741,2019,Australia,26.3
780,2020,Australia,27.2
1,2000,Austria,36.9
40,2001,Austria,36.2
79,2002,Austria,36.0
118,2003,Austria,34.6
157,2004,Austria,34.8
196,2005,Austria,33.8
235,2006,Austria,31.6
274,2007,Austria,30.4
313,2008,Austria,29.6
352,2009,Austria,29.3
391,2010,Austria,28.9
430,2011,Austria,28.3
469,2012,Austria,28.0
508,2013,Austria,27.8
547,2014,Austria,27.7
586,2015,Austria,27.4
625,2016,Austria,26.9
664,2017,Austria,26.7
703,2018,Austria,26.3
742,2019,Austria,26.3
781,2020,Austria,27.2
2,2000,Belgium,56.6
41,2001,Belgium,57.6
80,2002,Belgium,56.9
119,2003,Belgium,55.4
158,2004,Belgium,55.3
197,2005,Belgium,54.9
236,2006,Belgium,53.8
275,2007,Belgium,53.6
314,2008,Belgium,53.4
353,2009,Belgium,53.8
392,2010,Belgium,53.0
431,2011,Belgium,54.2
470,2012,Belgium,54.1
509,2013,Belgium,53.3
548,2014,Belgium,52.9
587,2015,Belgium,52.3
626,2016,Belgium,51.6
665,2017,Belgium,50.7
704,2018,Belgium,50.0
743,2019,Belgium,49.1
782,2020,Belgium,27.2
3,2000,Canada,28.2
42,2001,Canada,28.4
81,2002,Canada,28.3
120,2003,Canada,28.2
159,2004,Canada,27.8
198,2005,Canada,27.7
237,2006,Canada,27.4
276,2007,Canada,27.3
315,2008,Canada,27.0
354,2009,Canada,27.3
393,2010,Canada,27.2
432,2011,Canada,26.9
471,2012,Canada,27.2
510,2013,Canada,27.1
549,2014,Canada,26.4
588,2015,Canada,26.5
627,2016,Canada,26.3
666,2017,Canada,26.3
705,2018,Canada,25.9
744,2019,Canada,26.1
783,2020,Canada,27.2
4,2000,Chile,11.2
43,2001,Chile,10.9
82,2002,Chile,11.1
121,2003,Chile,11.7
160,2004,Chile,11.5
199,2005,Chile,11.1
238,2006,Chile,11.2
277,2007,Chile,11.5
316,2008,Chile,12.9
355,2009,Chile,13.7
394,2010,Chile,13.9
433,2011,Chile,13.8
472,2012,Chile,14.4
511,2013,Chile,14.1
550,2014,Chile,14.6
589,2015,Chile,15.3
628,2016,Chile,16.9
667,2017,Chile,17.0
706,2018,Chile,16.6
745,2019,Chile,26.1
784,2020,Chile,27.2
5,2000,Colombia,12.3
44,2001,Colombia,10.9
83,2002,Colombia,10.9
122,2003,Colombia,11.7
161,2004,Colombia,10.5
200,2005,Colombia,9.6
