,Country,Time,Frequency,MEAS,Value
0,Australia,2000,Annual,PCT,24.9
1,Australia,2001,Annual,PCT,24.6
2,Australia,2002,Annual,PCT,23.2
3,Australia,2003,Annual,PCT,23.2
4,Australia,2004,Annual,PCT,22.8
5,Australia,2005,Annual,PCT,22.5
6,Australia,2006,Annual,PCT,20.4
7,Australia,2007,Annual,PCT,18.8
8,Australia,2008,Annual,PCT,18.8
9,Australia,2009,Annual,PCT,19.6
10,Australia,2010,Annual,PCT,18.4
11,Australia,2011,Annual,PCT,18.4
12,Australia,2012,Annual,PCT,18.2
13,Australia,2013,Annual,PCT,17.0
14,Australia,2014,Annual,PCT,15.1
17,Australia,2015,Annual,PCT,15.1
15,Australia,2016,Annual,PCT,14.6
18,Australia,2017,Annual,PCT,14.6
16,Australia,2018,Annual,PCT,13.7
19,Australia,2019,Annual,PCT,13.7
20,Australia,2020,Annual,PCT,13.7
21,Austria,2000,Annual,PCT,36.9
22,Austria,2001,Annual,PCT,36.2
23,Austria,2002,Annual,PCT,36.0
24,Austria,2003,Annual,PCT,34.6
25,Austria,2004,Annual,PCT,34.8
26,Austria,2005,Annual,PCT,33.8
27,Austria,2006,Annual,PCT,31.6
28,Austria,2007,Annual,PCT,30.4
29,Austria,2008,Annual,PCT,29.6
30,Austria,2009,Annual,PCT,29.3
31,Austria,2010,Annual,PCT,28.9
32,Austria,2011,Annual,PCT,28.3
33,Austria,2012,Annual,PCT,28.0
34,Austria,2013,Annual,PCT,27.8
35,Austria,2014,Annual,PCT,27.7
38,Austria,2015,Annual,PCT,27.4
36,Austria,2016,Annual,PCT,26.9
39,Austria,2017,Annual,PCT,26.7
37,Austria,2018,Annual,PCT,26.3
40,Austria,2019,Annual,PCT,26.3
41,Austria,2020,Annual,PCT,26.3
42,Belgium,2000,Annual,PCT,56.6
43,Belgium,2001,Annual,PCT,57.6
44,Belgium,2002,Annual,PCT,56.9
45,Belgium,2003,Annual,PCT,55.4
46,Belgium,2004,Annual,PCT,55.3
47,Belgium,2005,Annual,PCT,54.9
48,Belgium,2006,Annual,PCT,53.8
49,Belgium,2007,Annual,PCT,53.6
50,Belgium,2008,Annual,PCT,53.4
51,Belgium,2009,Annual,PCT,53.8
52,Belgium,2010,Annual,PCT,53.0
53,Belgium,2011,Annual,PCT,54.2
54,Belgium,2012,Annual,PCT,54.1
55,Belgium,2013,Annual,PCT,53.3
56,Belgium,2014,Annual,PCT,52.9
59,Belgium,2015,Annual,PCT,52.3
57,Belgium,2016,Annual,PCT,51.6
60,Belgium,2017,Annual,PCT,50.7
58,Belgium,2018,Annual,PCT,50.0
61,Belgium,2019,Annual,PCT,49.1
62,Belgium,2020,Annual,PCT,49.1
63,Canada,2000,Annual,PCT,28.2
64,Canada,2001,Annual,PCT,28.4
65,Canada,2002,Annual,PCT,28.3
66,Canada,2003,Annual,PCT,28.2
67,Canada,2004,Annual,PCT,27.8
68,Canada,2005,Annual,PCT,27.7
69,Canada,2006,Annual,PCT,27.4
70,Canada,2007,Annual,PCT,27.3
71,Canada,2008,Annual,PCT,27.0
72,Canada,2009,Annual,PCT,27.3
73,Canada,2010,Annual,PCT,27.2
74,Canada,2011,Annual,PCT,26.9
75,Canada,2012,Annual,PCT,27.2
76,Canada,2013,Annual,PCT,27.1
77,Canada,2014,Annual,PCT,26.4
80,Canada,2015,Annual,PCT,26.5
78,Canada,2016,Annual,PCT,26.3
81,Canada,2017,Annual,PCT,26.3
79,Canada,2018,Annual,PCT,25.9
82,Canada,2019,Annual,PCT,26.1
83,Canada,2020,Annual,PCT,27.2
84,Chile,2000,Annual,PCT,11.2
85,Chile,2001,Annual,PCT,10.9
86,Chile,2002,Annual,PCT,11.1
87,Chile,2003,Annual,PCT,11.7
88,Chile,2004,Annual,PCT,11.5
89,Chile,2005,Annual,PCT,11.1
90,Chile,2006,Annual,PCT,11.2
91,Chile,2007,Annual,PCT,11.5
92,Chile,2008,Annual,PCT,12.9
93,Chile,2009,Annual,PCT,13.7
94,Chile,2010,Annual,PCT,13.9
95,Chile,2011,Annual,PCT,13.8
96,Chile,2012,Annual,PCT,14.4
97,Chile,2013,Annual,PCT,14.1
98,Chile,2014,Annual,PCT,14.6
101,Chile,2015,Annual,PCT,15.3
99,Chile,2016,Annual,PCT,16.9
102,Chile,2017,Annual,PCT,17.0
100,Chile,2018,Annual,PCT,16.6
103,Chile,2019,Annual,PCT,16.6
104,Chile,2020,Annual,PCT,16.6
105,Colombia,2000,Annual,PCT,12.3
106,Colombia,2001,Annual,PCT,12.3
107,Colombia,2002,Annual,PCT,10.9
108,Colombia,2003,Annual,PCT,10.9
109,Colombia,2004,Annual,PCT,10.5
110,Colombia,2005,Annual,PCT,9.6
111,Colombia,2006,Annual,PCT,9.6
112,Colombia,2007,Annual,PCT,9.6
113,Colombia,2008,Annual,PCT,9.6
114,Colombia,2009,Annual,PCT,9.4
115,Colombia,2010,Annual,PCT,9.2
116,Colombia,2011,Annual,PCT,9.1
117,Colombia,2012,Annual,PCT,9.1
118,Colombia,2013,Annual,PCT,9.7
119,Colombia,2014,Annual,PCT,9.6
122,Colombia,2015,Annual,PCT,9.4
120,Colombia,2016,Annual,PCT,9.5
123,Colombia,2017,Annual,PCT,9.5
121,Colombia,2018,Annual,PCT,9.5
124,Colombia,2019,Annual,PCT,9.5
125,Colombia,2020,Annual,PCT,9.5
126,Costa Rica,2000,Annual,PCT,14.3
127,Costa Rica,2001,Annual,PCT,13.5
128,Costa Rica,2002,Annual,PCT,14.3
129,Costa Rica,2003,Annual,PCT,14.5
130,Costa Rica,2004,Annual,PCT,13.9
131,Costa Rica,2005,Annual,PCT,13.3
132,Costa Rica,2006,Annual,PCT,12.9
133,Costa Rica,2007,Annual,PCT,11.5
134,Costa Rica,2008,Annual,PCT,12.0
135,Costa Rica,2009,Annual,PCT,13.0
136,Costa Rica,2010,Annual,PCT,12.9
137,Costa Rica,2011,Annual,PCT,13.4
138,Costa Rica,2012,Annual,PCT,13.1
139,Costa Rica,2013,Annual,PCT,13.7
