,Year,Value,type,datype,Val2,pct_tote
0,2000,0.008186581283655946,zh,Percentage,27484,0.008186581283655946
1,2001,0.006351039260969977,zh,Percentage,27712,0.006351039260969977
2,2002,0.005582593758946464,zh,Percentage,27944,0.005582593758946464
3,2003,0.004393891074022891,zh,Percentage,28221,0.004393891074022891
4,2004,0.0037854889589905363,zh,Percentage,28530,0.0037854889589905363
5,2005,0.004124783362218371,zh,Percentage,28850,0.004124783362218371
6,2006,0.005044958473471068,zh,Percentage,29138,0.005044958473471068
7,2007,0.005650486758799101,zh,Percentage,29378,0.005650486758799101
8,2008,0.004826515458350209,zh,Percentage,29628,0.004826515458350209
9,2009,0.0064823706955686655,zh,Percentage,29156,0.0064823706955686655
10,2010,0.005747912960175175,zh,Percentage,29228,0.005747912960175175
11,2011,0.0064674246034447545,zh,Percentage,29378,0.0064674246034447545
12,2012,0.008485705626830993,zh,Percentage,29697,0.008485705626830993
13,2013,0.01947209000432713,zh,Percentage,30043,0.01947209000432713
14,2014,0.020290043571567926,zh,Percentage,30754,0.020290043571567926
15,2015,0.02384529327153588,zh,Percentage,31285,0.02384529327153588
16,2016,0.02847782258064516,zh,Percentage,31744,0.02847782258064516
17,2017,0.0275446860280126,zh,Percentage,32057,0.0275446860280126
18,2018,0.024075957951848085,zh,Percentage,32439,0.024075957951848085
19,2019,0.02731790603372054,zh,Percentage,32799,0.02731790603372054
20,2020,0.03288320157494848,zh,Percentage,32509,0.03288320157494848
21,2021,0.02835807078717561,zh,Percentage,32407,0.02835807078717561
22,2022,0.03151722452968483,zh,Percentage,32744,0.03151722452968483
0,2000,27484.0,total,Total,27484,1.0
1,2001,27712.0,total,Total,27712,1.0
2,2002,27944.0,total,Total,27944,1.0
3,2003,28221.0,total,Total,28221,1.0
4,2004,28530.0,total,Total,28530,1.0
5,2005,28850.0,total,Total,28850,1.0
6,2006,29138.0,total,Total,29138,1.0
7,2007,29378.0,total,Total,29378,1.0
8,2008,29628.0,total,Total,29628,1.0
9,2009,29156.0,total,Total,29156,1.0
10,2010,29228.0,total,Total,29228,1.0
11,2011,29378.0,total,Total,29378,1.0
12,2012,29697.0,total,Total,29697,1.0
13,2013,30043.0,total,Total,30043,1.0
14,2014,30754.0,total,Total,30754,1.0
15,2015,31285.0,total,Total,31285,1.0
16,2016,31744.0,total,Total,31744,1.0
17,2017,32057.0,total,Total,32057,1.0
18,2018,32439.0,total,Total,32439,1.0
19,2019,32799.0,total,Total,32799,1.0
20,2020,32509.0,total,Total,32509,1.0
21,2021,32407.0,total,Total,32407,1.0
22,2022,32744.0,total,Total,32744,1.0
23,2000,225.0,zh,Total,27484,0.008186581283655946
24,2001,176.0,zh,Total,27712,0.006351039260969977
25,2002,156.0,zh,Total,27944,0.005582593758946464
26,2003,124.0,zh,Total,28221,0.004393891074022891
27,2004,108.0,zh,Total,28530,0.0037854889589905363
28,2005,119.0,zh,Total,28850,0.004124783362218371
29,2006,147.0,zh,Total,29138,0.005044958473471068
30,2007,166.0,zh,Total,29378,0.005650486758799101
31,2008,143.0,zh,Total,29628,0.004826515458350209
32,2009,189.0,zh,Total,29156,0.0064823706955686655
33,2010,168.0,zh,Total,29228,0.005747912960175175
34,2011,190.0,zh,Total,29378,0.0064674246034447545
35,2012,252.0,zh,Total,29697,0.008485705626830993
36,2013,585.0,zh,Total,30043,0.01947209000432713
37,2014,624.0,zh,Total,30754,0.020290043571567926
38,2015,746.0,zh,Total,31285,0.02384529327153588
39,2016,904.0,zh,Total,31744,0.02847782258064516
40,2017,883.0,zh,Total,32057,0.0275446860280126
41,2018,781.0,zh,Total,32439,0.024075957951848085
42,2019,896.0,zh,Total,32799,0.02731790603372054
43,2020,1069.0,zh,Total,32509,0.03288320157494848
44,2021,919.0,zh,Total,32407,0.02835807078717561
45,2022,1032.0,zh,Total,32744,0.03151722452968483
